Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,uuid,outlier_features,algorithm,anomaly_normal
34060806,710155.0,5500009106.0,10.0,28.0,28,28,F,,702,702.0,Z001,X1,1550.0,776113.0,500.718064516129,1.0,,3000.0,,5300460749.0,3.0,1,28,40100000,ST,0.0,b8f1fc779a3d47c4a3d99e32ec2f054c,"Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, COPOD",1.0
34060844,710155.0,5500009107.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z3,610.0,37793.0,61.95573770491804,1.0,,3000.0,,5300547227.0,0.0,1,14,40100000,ST,0.0,8ae25b7457534d39866fe07abc04f912,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",1.0
34071701,710155.0,5500009089.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1810.0,340099.0,187.9,1.0,,2000.0,,5300460740.0,0.0,1,14,40000000,ST,0.0,e3a8da1f2e2d4bb480fd266f605dacf6,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",1.0
34063506,710155.0,5500009099.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,5930.0,683136.0,115.2,1.0,,2100.0,,5300460738.0,0.0,1,14,40100000,ST,0.0,4bfbc03fdef64ec98949c19170b067b8,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",1.0
34069811,710155.0,5500009112.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,700.0,222109.0,317.29857142857145,1.0,,3000.0,,5300460731.0,0.0,1,14,40000000,ST,0.0,ff349baea4c1467ea6df293167d1e131,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",1.0
00130997,707032.0,5500008422.0,10.0,14.0,14,180,F,,702,702.0,Z011,Y5,8390.0,1272712.0,151.69392133492252,1.0,E11,2000.0,,5300185920.0,0.0,1,180,30100000,ST,0.0,f5200308cc0246e2931e26a201b646b7,"Vertrag_Fix2, Gesamtbestand, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, kNN, COPOD",0.0
34071701,710155.0,5500009089.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1810.0,340099.0,187.9,1.0,,2000.0,,5300460740.0,3.0,1,14,40000000,ST,0.0,6c8312f9a0be40bd87160630c22db7c7,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
34060801,710155.0,5500009091.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,7750.0,108810.0,14.04,1.0,,2100.0,,5300460744.0,3.0,1,14,40100000,ST,0.0,4ab6b5b3f1534404bfa7fbdef578abc6,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Einkäufer","ECOD, COPOD",0.0
34060842,710155.0,5500009093.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,4090.0,546015.0,133.5,1.0,,2100.0,,5300460745.0,3.0,1,14,40100000,ST,0.0,7a750827a6e54179bb1638ad088836a7,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
34063504,710155.0,5500009108.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Y9,1030.0,250183.0,242.8961165048544,1.0,E13,3000.0,,5300460747.0,3.0,1,14,40100000,ST,0.0,4a36801ba310449eab5ca3349ca22eaf,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",0.0
60063163,710155.0,5500009103.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,2260.0,45087.0,19.95,1.0,,2100.0,,5300507616.0,3.0,1,14,40100000,ST,0.0,d037855794fa4d629b23dcd40626bb31,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Einkäufer","ECOD, COPOD",0.0
34069711,710155.0,5500008764.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,790.0,250272.0,316.8,1.0,,2000.0,,5300460732.0,3.0,1,14,40100000,ST,0.0,6e0fcb24ed504bc083025eb7e77c0762,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
34063504,710155.0,5500009083.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,60.0,14568.0,242.8,1.0,,2000.0,,5300460747.0,3.0,1,14,40100000,ST,0.0,ca7895a051384e0485f8b8b18e1110e1,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
34069202,710155.0,5500009102.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,5420.0,591864.0,109.2,1.0,,2100.0,,5300460742.0,3.0,1,14,40100000,ST,0.0,e38ed8953acc4c90a6d4305bec707239,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
34071551,710155.0,5500009088.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1870.0,685729.0,366.7,1.0,,2000.0,,5300460735.0,0.0,1,14,40000000,ST,0.0,c9120e3f4f534caf8d7df49b726fdcd5,"Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",1.0
34063502,710155.0,5500009081.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,20.0,423.0,21.15,1.0,,2000.0,,5300456269.0,3.0,1,14,40100000,ST,0.0,8e2b6f65bc2441029e30bf62788e2657,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
34063506,710155.0,5500009099.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,5930.0,683136.0,115.2,1.0,,2100.0,,5300460738.0,3.0,1,14,40100000,ST,0.0,e71130a007cf46a4b47b19e0875507e0,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
34069711,710155.0,5500008764.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,790.0,250272.0,316.8,1.0,,2000.0,,5300460732.0,0.0,1,14,40100000,ST,0.0,a3bc919a36c34c9e9b3a1c0f8fa80e62,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",1.0
34069711,710155.0,5500009111.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,900.0,28512.0,31.68,1.0,,3000.0,,5300460732.0,0.0,1,14,40100000,ST,0.0,d1f98f40f3454aa1ae6dd57de780b803,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",1.0
34067311,710155.0,5500009110.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,1520.0,502334.0,330.4828947368421,1.0,,3000.0,,5300460748.0,3.0,1,14,40100000,ST,0.0,6026e8f23e60480aaff30f90119ed784,"Einkäufer, Warengruppe, Disponent, Gesamtwert","ECOD, COPOD",0.0
34063503,710155.0,5500009082.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,2600.0,135304.0,52.04,1.0,,2000.0,,5300460739.0,3.0,1,28,40100000,ST,0.0,466143f003bb4644bc414a9c297ea93f,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
00311513,701306.0,5500007785.0,10.0,42.0,42,182,F,,702,702.0,Z001,Y5,11410.0,3013824.0,264.13882559158634,1.0,E13,3000.0,,5300387810.0,0.0,1,182,30202000,ST,0.0,a5afa890ec1244b983687dc1bac02f78,"Vertrag_Fix2, Gesamtbestand, Warengruppe, Disponent, Planlieferzeit Vertrag, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, kNN, COPOD",0.0
01240800,710392.0,5500005904.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,1750.0,287148.0,164.08457142857142,1.0,E15,3000.0,,5300179975.0,0.0,1,168,550100000,ST,0.0,7ebf404f398e4df491e604c45ce871e7,"Einkäufer, Vertrag_Fix2, Disponent, Vertrag Fix1","ECOD, COPOD",0.0
34071201,710155.0,5500009086.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,790.0,324374.0,410.6,1.0,,2000.0,,5300460734.0,0.0,1,28,40000000,ST,0.0,5b3100f453b543a68f177d5d604671f1,"Dispolosgröße, Warengruppe, Disponent, Vertrag Fix1, Einkäufer","ECOD, COPOD",1.0
34063504,710155.0,5500009097.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,210.0,50988.0,242.8,1.0,,2100.0,,5300460747.0,3.0,1,14,40100000,ST,0.0,8eb86b770f3b41489fc153583a5afdc1,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
34071801,710155.0,5500009090.0,10.0,14.0,14,14,F,30.0,702,702.0,Z005,X1,3970.0,871562.0,219.53702770780856,1.0,,2000.0,,5300545548.0,3.0,1,14,10102000,ST,0.0,faf44a5f3f604d529a09499f3288ceef,"Gesamtbestand, Dispolosgröße, Disponent, Gesamtwert, DispoGruppe, Einkäufer","ECOD, kNN, COPOD, IForest",0.0
60029336,710392.0,5500005910.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,3790.0,62925.0,16.602902374670183,1.0,E15,3000.0,,5300383951.0,0.0,1,168,550100000,ST,0.0,54b72d4d165d4eebae07769da7b2c3ca,"Vertrag_Fix2, Gesamtbestand, Disponent, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
34071001,710155.0,5500009085.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1620.0,263088.0,162.4,1.0,,2000.0,,5300460741.0,3.0,1,14,40000000,ST,0.0,3b267eeea8034c4e8445e4f22da12e14,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
01240900,710392.0,5500005906.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,1240.0,198078.0,159.74032258064517,1.0,E15,2100.0,,5300179976.0,0.0,1,168,550100000,ST,0.0,78cdbf87ac9b46b28ea97b0d59b1c296,"Einkäufer, Vertrag_Fix2, Disponent, Vertrag Fix1","ECOD, COPOD",0.0
34069811,710155.0,5500008767.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,610.0,193309.0,316.9,1.0,,2000.0,,5300460731.0,0.0,1,14,40000000,ST,0.0,bdfa697bc582400ca0c292c9f5354971,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",1.0
34069401,710155.0,5500008762.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,4250.0,1527025.0,359.3,1.0,,2100.0,,5300460733.0,3.0,1,28,40200000,ST,0.0,88e4374aa6204259a5030dfa1b5fd977,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, kNN, COPOD",0.0
34060803,710155.0,5500009105.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,450.0,6318.0,14.04,1.0,,3000.0,,5300460746.0,3.0,1,14,40100000,ST,0.0,8a4dba512c954407a5da32a1410864ba,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",0.0
01240900,710392.0,5500005907.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,630.0,100917.0,160.18571428571428,1.0,E15,3000.0,,5300179976.0,0.0,1,168,550100000,ST,0.0,c1072f2e945b4ad4b265d80a5f65295c,"Einkäufer, Vertrag_Fix2, Disponent, Vertrag Fix1","ECOD, COPOD",0.0
34063505,710155.0,5500009098.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,26250.0,301350.0,11.48,1.0,,2100.0,,5300460737.0,0.0,1,14,40100000,ST,0.0,d5fa4ee1ef1e4962b99f8fabc14e784a,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Einkäufer","ECOD, COPOD",1.0
00131098,707032.0,5500008423.0,10.0,14.0,14,180,F,,702,702.0,Z011,Y6,7480.0,636446.0,85.08636363636364,1.0,E11,2000.0,,5300465587.0,0.0,1,180,30100000,ST,0.0,5ba303cf8f3945d28ad21bbf99243acb,"Vertrag_Fix2, Gesamtbestand, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
34060814,710155.0,5500009092.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,1020.0,79611.0,78.05,1.0,,2100.0,,5300462808.0,3.0,1,28,40100000,ST,0.0,6b36150b7a254bd4b9dc816b41179283,"Dispolosgröße, Warengruppe, Disponent, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
34063502,710155.0,5500009095.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,6710.0,1419165.0,211.5,1.0,,2100.0,,5300456269.0,3.0,1,14,40100000,ST,0.0,6fb702846b0a4e33a1036fed4caee3d5,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, kNN, COPOD",0.0
34069811,710155.0,5500009112.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,700.0,222109.0,317.29857142857145,1.0,,3000.0,,5300460731.0,3.0,1,14,40000000,ST,0.0,03887b6273754c9384ac9a2d2f1cefb9,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",0.0
34063501,710155.0,5500009080.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,10.0,5106.0,510.6,1.0,,2000.0,,5300456266.0,3.0,1,28,40100000,ST,0.0,c840feeec0da445d8c32da76545286d1,"Dispolosgröße, Warengruppe, Disponent, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
34638400,701318.0,5500000007.0,20.0,12.0,12,42,F,30.0,702,702.0,Z001,Y9,20.0,436232.0,21811.6,1.0,E13,2100.0,,5300067187.0,3.0,1,42,10403000,ST,0.0,7effc74195864229ac23e3ecbefc0171,"Einkäufer, Vertragsposition OB, Disponent","ECOD, COPOD",0.0
34063507,710155.0,5500009100.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,9120.0,942096.0,103.3,1.0,,2100.0,,5300456265.0,3.0,1,14,40100000,ST,0.0,7763c87d4ede4dee8e99a882d0746016,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, kNN, COPOD",0.0
34060844,710155.0,5500009107.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z3,610.0,37793.0,61.95573770491804,1.0,,3000.0,,5300547227.0,3.0,1,14,40100000,ST,0.0,8c2149bb13e54d47a4fc23f72226e4ff,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",0.0
34069711,710155.0,5500009111.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z2,900.0,28512.0,31.68,1.0,,3000.0,,5300460732.0,3.0,1,14,40100000,ST,0.0,f2128976c8fb4f649071dfe998aeaefc,"Einkäufer, Warengruppe, Disponent","ECOD, COPOD",0.0
34071501,710155.0,5500009087.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1440.0,531792.0,369.3,1.0,,2000.0,,5300456267.0,3.0,1,14,40000000,ST,0.0,f5c5799b0aee499696584ba08abcb2d6,"Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
34071201,710155.0,5500009086.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,790.0,324374.0,410.6,1.0,,2000.0,,5300460734.0,3.0,1,28,40000000,ST,0.0,afcad521ee4a4dffbeb446b81a14bc35,"Dispolosgröße, Warengruppe, Disponent, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
34071001,710155.0,5500009104.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,640.0,103936.0,162.4,1.0,,2800.0,,5300460741.0,3.0,1,14,40000000,ST,0.0,b6b9427769de43f3b64c241993dbb7e1,"Werk OB, Dispolosgröße, Warengruppe, Disponent, Einkäufer","ECOD, COPOD",0.0
34063501,710155.0,5500009094.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,12380.0,6321228.0,510.6,1.0,,2100.0,,5300456266.0,3.0,1,28,40100000,ST,0.0,8cd705847f16458aaf7274818b5ce566,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, kNN, COPOD, IForest",0.0
34071551,710155.0,5500009088.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1870.0,685729.0,366.7,1.0,,2000.0,,5300460735.0,3.0,1,14,40000000,ST,0.0,0f2d18f56008487c854e70dab45c351b,"Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
01240800,710392.0,5500005903.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,14770.0,2426562.0,164.28991198375084,1.0,E15,2000.0,,5300179975.0,0.0,1,168,550100000,ST,0.0,6c56220d73444cd0ae0a97853cf8b2a3,"Vertrag_Fix2, Gesamtbestand, Disponent, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, kNN, COPOD",0.0
34069102,710155.0,5500009084.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1020.0,107712.0,105.6,1.0,,2000.0,,5300456268.0,3.0,1,14,40100000,ST,0.0,9eb089ef61c848e0b918eceb85ed7823,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
60029336,710392.0,5500005908.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,15610.0,2583145.0,165.4801409352979,1.0,E15,2000.0,,5300383951.0,0.0,1,168,550100000,ST,0.0,8aa2e4b85a0f4f72b4ae21e547022259,"Vertrag_Fix2, Gesamtbestand, Disponent, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, kNN, COPOD",0.0
34069102,710155.0,5500009101.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,Z0,3030.0,319968.0,105.6,1.0,,2100.0,,5300456268.0,3.0,1,14,40100000,ST,0.0,c513587d4d654b09b3fa3645411d5ed8,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Einkäufer","ECOD, COPOD",0.0
34071501,710155.0,5500009087.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,1440.0,531792.0,369.3,1.0,,2000.0,,5300456267.0,0.0,1,14,40000000,ST,0.0,ba1754f3984f49ea8d4de2b55bc78d9f,"Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
01240900,710392.0,5500005905.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,3840.0,615196.0,160.20729166666666,1.0,E15,2000.0,,5300179976.0,0.0,1,168,550100000,ST,0.0,3811e6d7b8bd45648c927d38d021eecf,"Vertrag_Fix2, Gesamtbestand, Disponent, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
60029336,710392.0,5500005909.0,10.0,21.0,21,168,F,,702,702.0,Z011,Y5,3770.0,624336.0,165.60636604774535,1.0,E15,2100.0,,5300383951.0,0.0,1,168,550100000,ST,0.0,e38ad439e5c247d6b5af62f961ed80ca,"Vertrag_Fix2, Gesamtbestand, Disponent, Gesamtwert, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
34069811,710155.0,5500008767.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,610.0,193309.0,316.9,1.0,,2000.0,,5300460731.0,3.0,1,14,40000000,ST,0.0,7a6f375dbc2a42acb20917fce290d26a,"Einkäufer, Dispolosgröße, Disponent, Warengruppe","ECOD, COPOD",0.0
00131566-03,707032.0,5500008424.0,10.0,14.0,14,180,F,,702,702.0,Z011,Y5,1850.0,586563.0,317.06108108108106,1.0,E11,2000.0,,5300465588.0,0.0,1,180,30100000,ST,0.0,6347f6783b0c44f3a4fd42c993366877,"Vertrag_Fix2, Warengruppe, Disponent, Gesamtwert, Einkäufer","ECOD, COPOD",0.0
34638400,701318.0,5500000007.0,20.0,12.0,12,42,F,30.0,702,702.0,Z001,Y9,20.0,436232.0,21811.6,1.0,E13,2100.0,,5300067187.0,0.0,1,42,10403000,ST,0.0,9c862e0d0c92452b9c0308b2dd56783d,"Einkäufer, Vertragsposition OB, Disponent","ECOD, COPOD",1.0
34069711,710155.0,5500008765.0,10.0,14.0,14,14,F,30.0,202,202.0,Z001,X1,3900.0,123552.0,31.68,1.0,,2100.0,,5300460732.0,3.0,1,14,40100000,ST,0.0,b64d0b2437574a1a827bc0a26a12c1e7,"Gesamtbestand, Dispolosgröße, Warengruppe","ECOD, COPOD",1.0
34069811,710155.0,5500008766.0,10.0,14.0,14,14,F,30.0,202,202.0,Z001,X1,5380.0,1704922.0,316.9,1.0,,2100.0,,5300460731.0,0.0,1,14,40000000,ST,0.0,58a30055aa7d41bb9c0a13d7ce4e201d,"Gesamtbestand, Dispolosgröße, Warengruppe, Gesamtwert","ECOD, kNN, COPOD",1.0
34069811,710155.0,5500008766.0,10.0,14.0,14,14,F,30.0,202,202.0,Z001,X1,5380.0,1704922.0,316.9,1.0,,2100.0,,5300460731.0,3.0,1,14,40000000,ST,0.0,21f6cfc8bc764f3c90d4b25c8646dce1,"Gesamtbestand, Dispolosgröße, Warengruppe, Gesamtwert","ECOD, kNN, COPOD, IForest",1.0
34069401,710155.0,5500008763.0,10.0,28.0,28,28,F,30.0,202,202.0,Z001,X1,180.0,64674.0,359.3,1.0,,2000.0,,5300460733.0,3.0,1,28,40200000,ST,0.0,570d85313f2b46d392656d61c95cd47d,"Dispolosgröße, Warengruppe, Vertrag Fix1","ECOD, COPOD",1.0
34069711,710155.0,5500008765.0,10.0,14.0,14,14,F,30.0,202,202.0,Z001,X1,3900.0,123552.0,31.68,1.0,,2100.0,,5300460732.0,0.0,1,14,40100000,ST,0.0,130f017a7c3647f4b59a490ae0943057,"Gesamtbestand, Dispolosgröße, Warengruppe","ECOD, COPOD",1.0
23010202,701528.0,5500007784.0,10.0,14.0,14,56,F,,202,202.0,Z011,Y5,13340.0,324276.0,24.30854572713644,1.0,E13,3000.0,,5300038348.0,0.0,1,196,60100000,ST,0.0,433960a0d6f94a7c9adb6da23431c9ea,Gesamtbestand,"ECOD, COPOD",1.0
23010202,701528.0,5500007783.0,10.0,14.0,14,56,F,,202,202.0,Z011,Y5,221160.0,5593229.0,25.290418701392657,1.0,E13,2100.0,,5300038348.0,0.0,1,196,60100000,ST,0.0,0547f1fc25cd4725beb2d388360de7bc,"Gesamtbestand, Gesamtwert","ECOD, kNN, COPOD, IForest",0.0
