Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,uuid,outlier_features,algorithm
00311350,701306,4600012633.0,10,42,0,0,F,,202,202.0,Z001,Y5,3830,1189156,310.4845953002611,1,E13,3000,,5300387806.0,0.0,1,182,030202000,ST,0,79129269ed72459a958e186f9dcea7c4,"Disponent, Einkäufer, Dispolosgröße, Warengruppe","kNN, IForest"
00370046,701806,5500006587.0,10,4,4,60,F,,708,708.0,Z008,V5,8600,37426,4.351860465116279,100,E98,2000,,5300377281.0,0.0,2,28,140400000,ST,0,98385847e875496d81a293bb66ecbb7c,Dispolosgröße,"ECOD, COPOD"
00350106,700020,5500003379.0,10,4,4,60,F,,708,708.0,Z011,X6,102400,94297,0.920869140625,1000,E20,3000,,5300015257.0,0.0,1,4,140200000,ST,0,2a0f2180afab46b9a7158f3078d467a5,Dispolosgröße,"ECOD, COPOD"
24246300,2000,,0,0,0,0,F,40.0,252,252.0,Z012,Z5,3390,10521509,3103.689970501475,1,,3000,3000.0,5300180926.0,0.0,1,999,080800000,ST,0,4689597a259b45099c77b07443596ee6,"Infosatznummer, Materialnummer, Lieferant OB",kNN
33783305,702225,5500005002.0,10,42,42,112,F,,713,713.0,Z008,Z3,20360,1229083,60.36753438113949,1,,2000,,5300088658.0,0.0,1,42,060100000,ST,0,51c458e9a47e478f8ffc9b58d83ac7c6,"Gesamtbestand, Gesamtwert, Planlieferzeit Vertrag, Vertrag_Fix2, Einkäufer, Disponent, Vertrag Fix1","kNN, IForest, ECOD, COPOD"
00360070,701806,5500000247.0,10,4,4,60,F,,708,708.0,Z011,V5,1350,6374,4.721481481481481,100,E98,2100,,5300172466.0,0.0,2,4,140100000,ST,0,2becf2be6c664883b8f6adeebd653cac,Dispolosgröße,"ECOD, COPOD"
00360831,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,0.0,100,E11,2000,,,,1,15,140100000,ST,0,c2e451302f7a43c386d696462b903a67,"Infosatznummer, Materialnummer, Lieferant OB",kNN
34630406,700151,5500005570.0,10,14,14,42,F,,733,733.0,Z011,Y5,16970,22140,1.304655274012964,1,E13,2000,,5300044046.0,0.0,1,42,010102000,ST,0,cb6d2983ebbe472dabe8c0195c863a57,"Gesamtbestand, Einkäufer, Materialnummer, Disponent","IForest, ECOD, COPOD"
23113600UB,700119,4600007226.0,20,42,0,0,F,,228,228.0,Z001,Y2,0,0,0.0,1,E15,2000,,5300086235.0,3.0,1,42,010403000,ST,0,215f74eadf6c466ea6f04b5ea3ff1ef4,"Infosatztyp, Kalender, Vertragsposition OB",IForest
00371132,706261,,0,0,0,0,F,,272,272.0,Z012,Y4,1230,1622,1.3186991869918698,100,E13,3000,,,,1,7,140100000,ST,0,0a422d8ef5404fc8b8cc9dc178e0bc7f,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00360476,700023,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,0.0,100,,2100,,,,1,365,140100000,ST,0,99c8945294d347a6b8f3a0e9f126101b,"Infosatznummer, Materialnummer, Lieferant OB",kNN
28041101,701710,5500004556.0,10,14,14,35,F,,731,731.0,Z008,Y5,2260,8057,3.5650442477876108,1,E14,2100,,5300034925.0,0.0,1,14,100201000,ST,0,5b7a417c2a17464b925fa8e92f5d6b29,"Gesamtbestand, Einkäufer, Disponent","ECOD, COPOD"
60044182,708038,5500006755.0,10,14,14,84,F,,715,715.0,Z001,Y6,1000,442967,442.967,1,E11,2000,,5300407537.0,0.0,1,84,080100000,ST,0,91fb3d833cd14cd58c82ff691490b232,"Disponent, Dispolosgröße, Kalender, Gesamtwert",IForest
01242681,701710,5500002265.0,20,14,14,42,F,,731,731.0,Z008,Y5,10140,126749,12.499901380670611,100,E14,2000,,5300144855.0,0.0,1,14,100202000,ST,0,cbb698bbea544128a27163a14285f784,"Einkäufer, Disponent, Vertragsposition OB","ECOD, COPOD"
04008644,3000,,0,0,0,0,F,42.0,203,203.0,Z012,Y5,50,16698,333.96,1,E12,2000,,,,1,1,070200000,ST,0,e620ec51a3cc4327a462acd5cdda7b29,"Infosatznummer, Materialnummer, Lieferant OB",kNN
36010157,711970,,0,0,0,0,F,,273,273.0,Z012,Y4,90,1038361,11537.344444444445,1,E11,3000,,5300194119.0,0.0,1,91,550100000,ST,0,1b9829578c484f9a9ee3d25de0333610,"Infosatznummer, Materialnummer, Lieferant OB",kNN
24352401,707032,4600012109.0,10,118,0,0,F,,219,219.0,Z011,Y2,450,163393,363.09555555555556,1,E13,2000,,5300430899.0,0.0,1,118,030100000,ST,0,ef84b990677b43ab89f334bbaf7d7c10,"Einkäufer, Planlieferzeit Vertrag, Dispolosgröße, Warengruppe",IForest
00370326,701806,5500000902.0,10,4,4,60,F,,708,708.0,Z011,V4,310,4014,12.948387096774194,100,E98,2000,,5300174222.0,0.0,2,4,140300000,ST,0,2b33469f289349fa8308ed15705cd40f,Dispolosgröße,"ECOD, COPOD"
23830200UB,709741,5500003430.0,40,42,42,42,F,30.0,713,713.0,Z008,V9,0,0,0.0,1,E18,2100,,5300386018.0,0.0,1,42,010403000,ST,0,955579678db04b2ca4b1ffe0df850e56,"Dispolosgröße, Planlieferzeit Vertrag, Vertragsposition OB, Vertrag Fix1, Einkäufer, Disponent, Kalender","ECOD, COPOD"
60018325,708038,5500007245.0,10,14,14,84,F,,715,715.0,Z001,Y6,270,774285,2867.722222222222,1,E11,2000,,5300370466.0,0.0,1,84,080100000,ST,0,1abdc92ff2864d409442740714ec7aeb,"Gesamtbestand, Dispolosgröße, Kalender, Gesamtwert",IForest
00371120,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,0.0,100,E11,2000,,,,1,14,140600000,ST,0,2ac6000ad65f4ae1aa0582a9c30a1e18,"Infosatznummer, Materialnummer, Lieferant OB",kNN
60022246,701806,5500003312.0,10,4,4,60,F,,708,708.0,Z011,V5,1560,17857,11.446794871794872,100,E98,2100,,5300374339.0,0.0,2,4,140400000,ST,0,12c46915b4444825a7fd748bac6e57bd,Dispolosgröße,"ECOD, COPOD"
00346535,708038,5500007235.0,10,14,14,84,F,,715,715.0,Z001,Y6,130,21867,168.2076923076923,1,E11,2100,,5300178075.0,0.0,1,84,080100000,ST,0,f3089f2ae20d46d18cdf5207168f8578,"Kalender, Gesamtbestand, Dispolosgröße, Vertrag_Fix2",IForest
23010204,701806,5500003517.0,10,4,4,60,F,,708,708.0,Z008,V5,56490,129429,2.2911842804036113,100,E98,2100,,5300377238.0,0.0,2,4,140100000,ST,0,b28bd774c6f44abeb06c2659877da291,Dispolosgröße,"ECOD, COPOD"
60007004,701806,5500002409.0,10,4,4,60,F,,708,708.0,Z011,V5,56230,17275,0.30722034501155965,100,E98,2100,,5300196258.0,0.0,2,4,140200000,ST,0,bbb023d30d2e4247b6b83b7c43880a44,Dispolosgröße,"ECOD, COPOD"
00170065,700585,5500007090.0,10,14,14,182,F,,203,203.0,Z010,Y5,3540,14158,3.9994350282485875,1,E14,2000,,5300016236.0,0.0,1,14,140700000,ST,0,c5ebdedf6ba14e73a16b01a59ebbbc74,"Kalender, Gesamtbestand, Dispolosgröße, Vertrag_Fix2",IForest
00501119,708235,5500006614.0,10,14,14,42,F,,715,715.0,Z008,Y7,2200,15874,7.215454545454546,1,E13,2000,,5300362413.0,0.0,1,42,120000000,ST,0,a92e231050484875a90f473295c81c9a,"Disponent, Gesamtbestand, Einkäufer, Dispolosgröße","ECOD, COPOD"
00150164,700585,5500008676.0,10,14,14,182,F,,203,203.0,Z010,Y5,0,0,0.0,1,E14,2000,,5300127355.0,0.0,1,14,130401000,ST,0,3331b61412d94f6ba8a9027d01392fab,"Warengruppe, Gesamtbestand, Dispolosgröße, Vertrag_Fix2",IForest
00100402,708551,5500006014.0,10,14,14,60,F,,708,708.0,Z010,Y6,680,6545,9.625,1,E11,2100,,5300149284.0,0.0,1,60,070300000,ST,0,bd4a8277cbe645c6b54e5c85d9d8ce03,"Disponent, Dispolosgröße, Kalender, DispoGruppe",IForest
00230269,701806,5500000809.0,10,4,4,60,F,,708,708.0,Z011,V5,265460,53168,0.20028629548707902,1000,E98,2000,,5300174234.0,0.0,2,4,140300000,ST,0,1ddf6aa651fc48bb9f3790f75a792703,Dispolosgröße,"ECOD, COPOD"
00311069,2100,,0,0,0,0,F,41.0,202,202.0,Z003,Z2,1230,381471,310.1390243902439,1,,2800,2700.0,5300196960.0,0.0,1,273,030202000,ST,0,fd0dd1a9e4d546cc9922ba6e9c7e669b,"Einkäufer, Vertragsposition OB, Warengruppe, DispoGruppe",IForest
00120785,700339,5500009017.0,10,21,21,84,F,,708,708.0,Z011,Y4,1470,233011,158.5108843537415,1,E12,2000,,5300501921.0,0.0,1,42,070400000,ST,0,f8bab2aaa0cd46adacfd1a98d0ecc6e9,"Disponent, Einkäufer, Dispolosgröße, Warengruppe",IForest
60048812,702686,5500007894.0,10,28,28,112,F,,715,715.0,Z003,Y4,40,1094,27.35,1,E13,2000,,5300413711.0,0.0,1,84,080100000,ST,0,150b320d76a2446eb3cf5167f0c5efe6,"Gesamtbestand, Dispolosgröße, Vertrag_Fix2, DispoGruppe",IForest
00346340,711970,5500002129.0,20,14,14,84,F,,715,715.0,Z001,Y5,600,1115537,1859.2283333333332,1,E13,2000,,5300193718.0,0.0,1,84,080100000,ST,0,a167274d66c24e62bf5748c8a75622f3,"Vertragsposition OB, Dispolosgröße, Gesamtwert","kNN, IForest"
24047006,701806,5500008593.0,10,4,4,60,F,,208,208.0,Z011,V4,8160,120794,14.803186274509804,100,E98,2100,,5300195404.0,0.0,2,4,060100000,ST,0,f7f9c9e2a3e2447e8972adb37600f763,Dispolosgröße,"ECOD, COPOD"
60054719,701806,5500006914.0,10,4,4,60,F,,708,708.0,Z011,V5,11290,7399,0.6553587245349867,100,E98,2000,,5300419572.0,0.0,2,7,140100000,ST,0,e21730063197434e929def597c75a222,Dispolosgröße,"ECOD, COPOD"
60018849,701863,4600012863.0,10,84,0,0,F,,215,215.0,Z001,Z3,7680,1865627,242.92018229166666,1,,2000,,5300380188.0,0.0,1,84,080400000,ST,0,2798e56ece4f44fda9d9fc80e9ee45e2,"Infosatznummer, Materialnummer, Lieferant OB",kNN
60079437,700368,4600012140.0,10,140,0,0,F,,203,203.0,Z010,Y9,660,94677,143.45,1,E11,2100,,5300476144.0,0.0,1,42,070600000,ST,0,2441c21155744e77b4aea7e170ba4a79,"Vertrag OB, Planlieferzeit Vertrag, Dispolosgröße, Warengruppe",IForest
00346471,2000,,0,0,0,0,F,40.0,215,215.0,Z001,Y5,3190,22968141,7200.0442006269595,1,E13,2100,3000.0,5300145913.0,0.0,1,2,080300000,ST,0,b3e7029a10664d9c94041cbe8c172b8c,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00360820,706261,,0,0,0,0,F,,272,272.0,Z012,Y2,480,2177,4.535416666666666,100,E13,3000,,,,1,7,140100000,ST,0,dae8890ad9154bed90e10aa4ba90c18a,"Infosatznummer, Materialnummer, Lieferant OB",kNN
23010500,703002,,0,0,0,0,F,,208,208.0,Z001,Y9,50,1195465,23909.3,1,E11,2100,,5300059379.0,0.0,1,104,130200000,ST,0,d67af71c98e8497a8e9cf6b9bde395d3,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00170028,701806,5500000579.0,10,4,4,60,F,,708,708.0,Z011,V5,24600,1771,0.07199186991869919,100,E98,2100,,5300174100.0,0.0,2,4,140300000,ST,0,5a336127930d425bb15bce2063767e91,Dispolosgröße,"ECOD, COPOD"
34032601,700020,5500003495.0,10,4,4,60,F,,708,708.0,Z011,X6,2050,104933,51.18682926829268,1,E20,2100,,5300044520.0,0.0,1,4,140400000,ST,0,41c79e99434344a0a29ae9bb2d61e653,"Gesamtbestand, Dispolosgröße","ECOD, COPOD"
60021846,701806,5500002412.0,10,4,4,60,F,,708,708.0,Z008,V5,20750,366719,17.673204819277107,100,E98,2000,,5300373545.0,0.0,2,4,140100000,ST,0,59d447fe0b8048669708c92149360921,Dispolosgröße,"ECOD, COPOD"
23051415,700230,5500001878.0,20,14,14,84,F,,715,715.0,Z001,Y4,33450,76484,2.2865171898355756,100,E14,3000,,5300156830.0,0.0,1,14,100202000,ST,0,31473d009b08484e8dcbeae804a085f9,"Dispolosgröße, Warengruppe, Vertragsposition OB",IForest
00345058,711970,5500002120.0,20,14,14,84,F,,715,715.0,Z001,Y6,1020,305224,299.2392156862745,1,E13,2000,,5300193799.0,0.0,1,84,080100000,ST,0,670145f07324428e9fed27b05b0e1c83,"Disponent, Dispolosgröße, Vertragsposition OB",IForest
00370776,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,0.0,100,E11,2000,,,,1,21,140100000,ST,0,c20dad91159547d28e94a35a2c928141,"Infosatznummer, Materialnummer, Lieferant OB",kNN
34063504,2000,,0,0,0,0,F,40.0,202,202.0,Z003,Z5,0,0,0.0,1,,2700,,,,1,7,040100000,ST,0,f5f648e9c48345b39ba1b231698d8803,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00131098,707032,5500008423.0,10,14,14,180,F,,702,702.0,Z011,Y6,7480,636446,85.08636363636364,1,E11,2000,,5300465587.0,0.0,1,180,030100000,ST,0,5ba303cf8f3945d28ad21bbf99243acb,"Gesamtbestand, Warengruppe, Gesamtwert, Vertrag_Fix2, Einkäufer, Disponent","IForest, ECOD, COPOD"
00347916,2000,,0,0,0,0,F,40.0,203,203.0,Z001,Y5,1780,3635309,2042.3084269662922,1,E11,2100,2100.0,5300211830.0,0.0,1,2,131300000,ST,0,079605fc0d6b46c6afe6c42f58fdb096,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00190010,700020,5500001486.0,10,4,4,60,F,,708,708.0,Z011,X6,145040,250903,1.729888306674021,100,E20,2000,,5300000668.0,0.0,1,4,140700000,ST,0,74cb257197e143f39d12944df32f03e3,Dispolosgröße,"ECOD, COPOD"
60064120,700066,,0,0,0,0,F,,203,203.0,Z011,Y5,860,1050722,1221.7697674418605,1,E11,2000,,5300431414.0,0.0,1,168,131300000,ST,0,30e31c1b0dcd4334a2c273ce592879ac,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00110837,700537,5500006480.0,10,42,42,112,F,,203,203.0,Z010,Y5,200,151049,755.245,1,E13,2000,,5300004616.0,0.0,1,112,070600000,ST,0,84b5a716b5ca4d83a17ad7c32c90e0ea,"Warengruppe, Dispolosgröße, Vertrag_Fix2, DispoGruppe",IForest
00350064,701806,5500000587.0,10,4,4,60,F,,708,708.0,Z011,V5,20940,2666,0.12731614135625596,100,E98,2100,,5300174112.0,0.0,2,4,140200000,ST,0,92581ed68a3f40778cd367a9a0bec643,Dispolosgröße,"ECOD, COPOD"
00230108,702565,5500000290.0,10,14,14,90,F,,206,206.0,Z003,Y6,530,730,1.3773584905660377,1,E15,2000,,5300005672.0,0.0,1,14,090400000,ST,0,4aa38708dcc948a6903877cc0d2caf53,"Warengruppe, Dispolosgröße, Kalender, DispoGruppe",IForest
00311369,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,2060,1579231,766.6169902912621,1,,3000,3000.0,5300196993.0,0.0,1,15,030202000,ST,0,a7596223022346c0b3b66f95366aa672,"Infosatznummer, Materialnummer, Lieferant OB",kNN
